cod,nome,lon,lat,tipo,area_km2
151003,CARRAZEDO,-51.9178,-1.5825,pluviometrica,
152001,PORTO DE MOZ,-52.2333,-1.7333,pluviometrica,
152003,PORTO DE MOZ,-52.2333,-1.75,pluviometrica,
152005,ALMEIRIM,-52.5783,-1.5264,pluviometrica,
152006,FAZENDA BELA VISTA,-53.1575,-1.0819,pluviometrica,
153000,PRAINHA,-53.48,-1.8011,pluviometrica,
154000,ARAPARI,-54.3972,-1.7736,pluviometrica,
154001,BOCA DO INFERNO,-54.8714,-1.5,pluviometrica,
154002,ALENQUER,-54.7667,-1.9333,pluviometrica,
154003,ALENQUER,-54.7392,-1.9428,pluviometrica,
155000,ORIXIMINÁ,-55.8614,-1.7597,pluviometrica,
155001,ÓBIDOS,-55.5186,-1.9014,pluviometrica,
155002,VILA CURUA,-55.1156,-1.8881,pluviometrica,
156000,VISTA ALEGRE CONJUNTO 1,-56.04,-1.1014,pluviometrica,
156002,PORTO TROMBETAS,-56.4025,-1.4556,pluviometrica,
157000,CACH DA PORTEIRA - CONJ 1,-57.0469,-1.0875,pluviometrica,
157001,MINERAÇÃO CAIMA,-57.8275,-1.4378,pluviometrica,
157002,PORTUGUÊS,-57.0506,-1.8683,pluviometrica,
158003,SÃO JOSÉ,-58.2558,-1.9328,pluviometrica,
159000,BALBINA P-8 (UHE BALBINA),-59.4833,-1.9381,pluviometrica,
159001,UHE BALBINA JUSANTE,-59.4767,-1.9494,pluviometrica,
159006,UHE BALBINA RIO PITINGA,-59.4797,-0.9911,pluviometrica,
159007,UHE BALBINA BARRAMENTO,-59.4756,-1.9161,pluviometrica,
160000,POSTO ABONARI - FUNAI,-60.3997,-1.2989,pluviometrica,
160001,UHE BALBINA MONTANTE,-60.2347,-1.2106,pluviometrica,
161002,MOURA,-61.6331,-1.4589,pluviometrica,
161004,SERINGALZINHO,-61.5983,-1.8325,pluviometrica,
162000,CARVOEIRO,-61.9792,-1.3944,pluviometrica,
162002,UMANAPANA,-62.4367,-1.8872,pluviometrica,
162003,VISTA ALEGRE DO UNINI,-62.8236,-1.7108,pluviometrica,
165000,MARAÃ,-65.5906,-1.8611,pluviometrica,
166000,ACANAUI,-66.6,-1.8211,pluviometrica,
167001,MAMORI,-67.5786,-1.7319,pluviometrica,
169000,VILA BITTENCOURT,-69.4283,-1.3947,pluviometrica,
169002,MANGUEIRA,-69.1167,-1.7333,pluviometrica,
169004,PTO CORDOBA,-69.7333,-1.2667,pluviometrica,
169005,PEDRERA LA,-69.6167,-1.3,pluviometrica,
169006,BACURI,-69.4667,-1.2167,pluviometrica,
170000,MIRANAS LAS,-70.8,-1.35,pluviometrica,
170001,MARIA MANTECA,-70.6,-1.4,pluviometrica,
170002,MANACARO,-70.1833,-1.5,pluviometrica,
170003,PTO CAIMAN,-70.0333,-1.55,pluviometrica,
171000,STA ISABEL,-71.1,-1.1333,pluviometrica,
172000,CHORRERA LA,-72.75,-1.4333,pluviometrica,
173001,REMOLINO,-73.6167,-1.2833,pluviometrica,
173002,SAN AGUSTIN,-73.4833,-1.6167,pluviometrica,
173003,ENCANTO EL,-73.2,-1.7667,pluviometrica,
174000,PTO TOLOZA,-74.1667,-1.0333,pluviometrica,
177000,EL PUYO,-77.9,-1.5833,pluviometrica,
177001,ZATZAYACU,-77.85,-1.1667,pluviometrica,
177002,PUERTO NAPO,-77.7833,-1.05,pluviometrica,
177003,ARAPICOS,-77.9,-1.8167,pluviometrica,
177009,SANGAY- (P. SANTA ANA),-77.9,-1.7,pluviometrica,
177010,PUYO,-77.9439,-1.5075,pluviometrica,
177011,ESPOCH 32,-77.9167,-1.6,pluviometrica,
178003,AMBATO AEROPUERTO,-78.6333,-1.2833,pluviometrica,
178004,PATATE,-78.5,-1.3,pluviometrica,
178005,BANOS,-78.4167,-1.4,pluviometrica,
178006,RIOBAMBA - AEROPUERTO,-78.6667,-1.6333,pluviometrica,
178007,PASTAZA AEROPUERTO,-78.05,-1.5,pluviometrica,
178008,GUAMOTE,-78.7167,-1.9333,pluviometrica,
178009,GUASLAN,-78.6667,-1.75,pluviometrica,
178011,PILLARO,-78.5333,-1.1667,pluviometrica,
178012,AMBATO-GRANJA,-78.6167,-1.25,pluviometrica,
178014,RIO BAMBA-CHIMBORAZO,-78.6667,-1.6333,pluviometrica,
178015,LA GRANJA - RIOBAMBA,-78.6514,-1.675,pluviometrica,
178016,QUIMIAG,-78.575,-1.6583,pluviometrica,
178017,SAN GERARDO - CHIMBORAZO,-78.6167,-1.6333,pluviometrica,
178018,BAYUSHIG,-78.4833,-1.5667,pluviometrica,
178019,PUJILI-H.S.ANTÔNIO DE S.ALEGRE,-78.6883,-1.0489,pluviometrica,
178020,PEDRO FERMIN CEVALLOS (COLEGIO),-78.615,-1.3525,pluviometrica,
178021,PISAYAMBO-TALATAG,-78.4333,-1.0356,pluviometrica,
178022,AGOYAN EN LA PRESA,-78.3667,-1.35,pluviometrica,
178023,PUNGALES,-78.5667,-1.5833,pluviometrica,
178024,QUEROCHACA(UTA),-78.6,-1.3667,pluviometrica,
178025,CUSUBAMBA,-78.6992,-1.0664,pluviometrica,
178026,TISALEO,-78.6664,-1.345,pluviometrica,
178027,EL TOPO - TUNGURAHUA,-78.1911,-1.4036,pluviometrica,
178028,HUAMBALO,-78.5275,-1.3872,pluviometrica,
178029,PELILEO-TNQ DE AGUA POTABLE,-78.5569,-1.3303,pluviometrica,
178030,QUERO,-78.6069,-1.3753,pluviometrica,
178031,URBINA,-78.7103,-1.4831,pluviometrica,
178032,SAN JUAN - CHIMBORAZO,-78.7833,-1.6264,pluviometrica,
178033,CAJABAMBA,-78.7631,-1.6847,pluviometrica,
178034,RUMIQUINCHA,-78.7833,-1.0608,pluviometrica,
241005,ARAIOSES_BibliotecaMunicipalHumertodeCampos,-41.9039,-2.8914,pluviometrica,
241006,CAJUEIRO DA PRAIA_Secretaria Municipal da Saude,-41.3425,-2.9303,pluviometrica,
241007,ILHA GRANDE_Escola Estadual Marocas Lima,-41.8179,-2.8524,pluviometrica,
241008,PARNAÍBA_Mercado Municipal,-41.7811,-2.9042,pluviometrica,
